2015-03-03 13:30:33-08,34.16103,-118.18229
2015-03-03 13:30:34-08,34.16089,-118.18313
2015-03-03 13:30:36-08,34.16089,-118.18313
2015-03-03 13:30:41-08,34.16089,-118.18313
2015-03-03 13:30:42-08,34.16089,-118.18313
2015-03-03 13:30:43-08,34.1605,-118.18657
2015-03-03 13:30:44-08,34.1605,-118.18657
2015-03-03 13:30:45-08,34.1605,-118.18657
2015-03-03 13:30:46-08,34.1605,-118.18657
2015-03-03 13:30:47-08,34.1605,-118.18657
2015-03-03 13:30:48-08,34.1605,-118.18657
2015-03-03 13:30:53-08,34.1605,-118.18657
2015-03-03 13:30:54-08,34.1605,-118.18657
2015-03-03 13:30:55-08,34.16008,-118.19115
2015-03-03 13:30:56-08,34.16003,-118.1916
2015-03-03 13:30:57-08,34.16003,-118.1916
2015-03-03 13:31:02-08,34.16003,-118.1916
2015-03-03 13:31:03-08,34.15984,-118.19417
2015-03-03 13:31:04-08,34.15979,-118.19456
2015-03-03 13:31:08-08,34.15971,-118.19618
2015-03-03 13:31:09-08,34.1597,-118.19636
2015-03-03 13:31:10-08,34.1597,-118.19636
2015-03-03 13:31:14-08,34.16002,-118.19843
2015-03-03 13:31:15-08,34.16013,-118.19881
2015-03-03 13:31:16-08,34.16013,-118.19881
2015-03-03 13:31:20-08,34.16013,-118.19881
2015-03-03 13:31:21-08,34.16013,-118.19881
2015-03-03 13:31:22-08,34.16013,-118.19881
2015-03-03 13:31:23-08,34.16185,-118.2005
2015-03-03 13:31:24-08,34.16185,-118.2005
2015-03-03 13:31:25-08,34.16259,-118.2007
2015-03-03 13:31:26-08,34.16259,-118.2007
2015-03-03 13:31:27-08,34.16309,-118.20067
2015-03-03 13:31:28-08,34.16336,-118.20067
2015-03-03 13:31:29-08,34.16368,-118.20062
2015-03-03 13:31:31-08,34.16385,-118.20065
2015-03-03 13:31:32-08,34.16478,-118.20047
2015-03-03 13:31:33-08,34.16496,-118.20045
2015-03-03 13:31:34-08,34.16496,-118.20045
2015-03-03 13:31:40-08,34.16496,-118.20045
2015-03-03 13:31:41-08,34.1673,-118.19994
2015-03-03 13:31:42-08,34.16748,-118.1999
2015-03-03 13:31:43-08,34.16748,-118.1999
2015-03-03 13:31:44-08,34.16748,-118.1999
2015-03-03 13:31:45-08,34.1685,-118.19962
2015-03-03 13:31:47-08,34.1685,-118.19962
2015-03-03 13:31:48-08,34.1685,-118.19962
2015-03-03 13:31:49-08,34.16968,-118.19949
2015-03-03 13:31:50-08,34.16968,-118.19949
2015-03-03 13:31:55-08,34.17167,-118.20007
2015-03-03 13:31:56-08,34.17167,-118.20007
2015-03-03 13:31:57-08,34.17237,-118.20053
2015-03-03 13:31:58-08,34.17237,-118.20053
2015-03-03 13:32:01-08,34.17279,-118.20084
2015-03-03 13:32:02-08,34.17372,-118.2015
2015-03-03 13:32:06-08,34.17485,-118.20246
2015-03-03 13:32:07-08,34.17485,-118.20246
2015-03-03 13:32:08-08,34.17521,-118.20276
2015-03-03 13:32:09-08,34.17521,-118.20276
2015-03-03 13:32:10-08,34.17577,-118.20325
2015-03-03 13:32:11-08,34.17577,-118.20325
2015-03-03 13:32:12-08,34.17628,-118.20362
2015-03-03 13:32:13-08,34.17654,-118.20387
2015-03-03 13:32:14-08,34.17654,-118.20387
2015-03-03 13:32:17-08,34.17768,-118.20482
2015-03-03 13:32:19-08,34.1781,-118.20516
2015-03-03 13:32:20-08,34.17851,-118.20549
2015-03-03 13:32:21-08,34.17851,-118.20549
2015-03-03 13:32:22-08,34.17893,-118.2058
2015-03-03 13:32:23-08,34.17924,-118.20605
2015-03-03 13:32:24-08,34.17924,-118.20605
2015-03-03 13:32:25-08,34.17963,-118.20637
2015-03-03 13:32:26-08,34.17993,-118.20661
2015-03-03 13:32:28-08,34.17993,-118.20661
